head_sha,evidence_status,first_path,expected_sha256,actual_sha256,first_replay_result,source
00698b4c26231d003d8763b1c3137dd8e2adc118,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 00698b4c26231d003d8763b1c3137dd8e2adc118:SHA256SUMS
0287c6599810145c883a8e69d3b2d822f821351b,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 0287c6599810145c883a8e69d3b2d822f821351b:SHA256SUMS
04f39c787e2c2689e53bd92248070dc6f86471de,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 04f39c787e2c2689e53bd92248070dc6f86471de:SHA256SUMS
06109c50feb98dd669a8a6e727e04fd60c93c190,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,README.md,7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5,a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,git object 06109c50feb98dd669a8a6e727e04fd60c93c190:SHA256SUMS
0b22caf930dcda7cf5170ab6a62c1b97e1af068b,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,SHA256SUMS,,,MISSING_SHA256SUMS,git object 0b22caf930dcda7cf5170ab6a62c1b97e1af068b:SHA256SUMS
0b3d5ed5a505b4b6805845702649dddff107f8bc,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 0b3d5ed5a505b4b6805845702649dddff107f8bc:SHA256SUMS
0dd0c8c420f7ee279e43ff673b10c1cc656057df,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 0dd0c8c420f7ee279e43ff673b10c1cc656057df:SHA256SUMS
10f89d5ad08f260509bcba850c4fa9caa8bcc21b,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,tools/verify_lkmini.py,2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7,01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,git object 10f89d5ad08f260509bcba850c4fa9caa8bcc21b:SHA256SUMS
13335775ff48ba3980d04ceaaa765e6244987f0d,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,README.md,7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5,a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,git object 13335775ff48ba3980d04ceaaa765e6244987f0d:SHA256SUMS
175fce87a8b77ffd8cb6d96df150fb294134b694,VERIFIED_TRUE_LOCAL_GIT_OBJECT_REPLAY,README.md,7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5,a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,git object 175fce87a8b77ffd8cb6d96df150fb294134b694:SHA256SUMS
